	8 AM to 9 AM	9:30 AM to 12:00 PM	2 PM to 3 PM	3 PM to 4 PM	4 PM to 5 PM
Monday	Microbiology	Postings	Pathology	Microbiology practicals
Tuesday	Medicine	Postings	Pharmacology	Forensic Medicine CBL	Forensic Medicine Practicals
Wednesday	Community Medicine	Postings	Pathology	Pathology practicals
Thursday	Pharmacology	Postings	Microbiology	Pharmacology practicals
Friday	Surgery	Postings	Pathology	Community Medicine practicals
Saturday	Forensic Medicine/Microbiology	Postings	Pharmacology	Bio Ethics*	
